Student,Age,Response
554,15,Rarely
555,13,Rarely
556,13,Rarely
557,15,Never
558,17,Never
559,16,Rarely
560,16,Sometimes
561,15,Sometimes
562,17,Often
563,14,Rarely
564,14,Sometimes
565,17,Never
566,15,Sometimes
567,16,Never
568,14,Rarely
569,17,Never
570,17,Often
571,14,Sometimes
572,15,Never
573,13,Rarely
574,16,Never
575,13,Never
576,13,Rarely
577,15,Never
578,14,Never
579,15,Often
580,17,Often
581,13,Never
582,17,Often
583,16,Sometimes
584,17,Sometimes
585,17,Sometimes
586,16,Rarely
587,17,Sometimes
588,16,Often
589,16,Rarely
590,15,Never
591,14,Never
592,17,Often
593,13,Rarely
594,17,Often
595,16,Never
596,14,Sometimes
597,15,Rarely
598,15,Sometimes
599,16,Never
600,14,Never
601,17,Never
602,14,Never
603,15,Rarely
604,15,Sometimes
605,16,Sometimes
606,14,Never
607,16,Rarely
608,14,Sometimes
609,16,Never
610,17,Often
611,17,Sometimes
612,13,Never
613,14,Often
614,16,Rarely
615,16,Rarely
616,13,Sometimes
617,15,Rarely
618,17,Sometimes
619,17,Rarely
620,16,Sometimes
621,13,Sometimes
622,15,Sometimes
623,14,Often
624,13,Sometimes
625,14,Rarely
626,15,Sometimes
627,13,Never
628,16,Never
629,13,Never
630,17,Never
631,14,Sometimes
632,14,Rarely
633,15,Sometimes
634,14,Sometimes
635,17,Rarely
636,15,Never
637,16,Rarely
638,13,Never
639,15,Never
640,16,Often
641,14,Never
642,15,Never
643,17,Never
644,14,Rarely
645,17,Never
646,13,Never
647,14,Rarely
648,14,Often
649,15,Never
650,16,Often
651,16,Rarely
652,13,Never
653,15,Rarely
654,14,Sometimes
655,14,Never
656,13,Never
657,17,Never
658,15,Often
659,15,Sometimes
660,14,Never
661,15,Sometimes
662,16,Never
663,16,Sometimes
664,13,Rarely
665,13,Sometimes
666,17,Never
667,13,Never
668,17,Sometimes
669,17,Sometimes
670,15,Sometimes
671,15,Rarely
672,16,Never
673,17,Rarely
674,13,Often
675,17,Rarely
676,13,Never
677,15,Rarely
678,16,Rarely
679,15,Rarely
680,17,Sometimes
681,16,Sometimes
682,15,Often
683,15,Rarely
684,16,Sometimes
685,17,Never
686,16,Sometimes
687,13,Never
688,17,Rarely
689,13,Rarely
690,15,Sometimes
691,17,Never
692,13,Never
693,16,Never
694,14,Never
695,13,Often
696,15,Rarely
697,17,Rarely
698,15,Often
699,17,Sometimes
700,15,Sometimes
701,14,Never
702,15,Sometimes
703,17,Never
704,17,Sometimes
705,13,Rarely
706,15,Sometimes
707,13,Rarely
708,17,Sometimes
709,15,Rarely
710,16,Never
711,13,Sometimes
712,15,Rarely
713,16,Never
714,16,Rarely
715,16,Never
716,14,Never
717,17,Never
718,14,Sometimes
719,16,Never
720,14,Sometimes
721,15,Never
722,15,Never
723,16,Rarely
724,14,Never
725,16,Sometimes
726,15,Rarely
727,16,Sometimes
728,15,Never
729,17,Sometimes
730,17,Never
731,16,Often
732,15,Rarely
733,13,Sometimes
734,13,Sometimes
735,14,Sometimes
736,14,Rarely
737,17,Sometimes
738,13,Never
739,17,Never
740,14,Sometimes
741,17,Rarely
742,14,Never
743,16,Rarely
