"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES"
"USC00106152","MOSCOW U OF I, ID US","1903-02","0.22",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1903-03","1.77",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1903-04","0.87",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1903-05","3.63",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1903-06","1.80",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1903-07","0.57",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1903-08","1.43",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1903-09","1.57",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1903-10","1.65",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1903-11","2.80",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1903-12","2.37",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1904-01","1.22",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1904-02","1.60",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1904-03","2.78",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1904-04","1.21",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1904-05","0.72",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1904-06","2.74",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1904-07","1.30",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1904-08","0.11",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1904-09","0.38",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1904-10","1.49",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1904-11","0.75",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1904-12","1.26",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1905-01","0.78",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1905-02","0.65",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1905-03","2.01",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1905-04","1.91",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1905-05","2.00","2,,,0"
"USC00106152","MOSCOW U OF I, ID US","1905-06","2.90",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1905-07","0.10",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1905-08","0.19",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1905-09","2.74",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1905-10","2.43",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1905-11","1.88",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1905-12","2.04",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1906-01","1.96",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1906-02","1.64",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1906-03","2.00",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1906-04","0.35",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1906-05","2.67",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1906-06","1.19",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1906-07","0.03",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1906-08","2.06",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1906-09","0.61",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1906-10","0.82",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1906-11","7.48",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1906-12","6.12",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1907-01","5.77",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1907-02","2.62",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1907-03","2.79",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1907-04","0.62",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1907-05","0.81",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1907-06","2.58",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1907-07","1.58",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1907-08","1.60",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1907-09","0.87",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1907-10","0.78",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1907-11","0.98",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1907-12","2.90",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1908-01","1.47",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1908-02","1.78",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1908-03","2.76",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1908-04","1.30",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1908-05","2.00",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1908-06","1.07",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1908-07","0.13",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1908-08","0.95",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1908-09","0.93",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1908-10","1.97",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1908-11","1.05",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1908-12","1.41",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1909-01","4.11",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1909-02","3.24",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1909-03","1.02",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1909-04","2.06",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1909-05","1.62",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1909-06","0.65",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1909-07","3.65",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1909-08","0.00",",T,,0"
"USC00106152","MOSCOW U OF I, ID US","1909-09","1.65",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1909-10","1.75",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1909-11","5.78",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1909-12","1.47",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1910-01","2.58",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1910-02","3.50",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1910-03","2.65",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1910-04","1.77",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1910-05","1.86",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1910-06","0.00",",T,,0"
"USC00106152","MOSCOW U OF I, ID US","1910-07","0.00",",T,,0"
"USC00106152","MOSCOW U OF I, ID US","1910-08","0.00",",T,,0"
"USC00106152","MOSCOW U OF I, ID US","1910-09","0.56",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1910-10","2.48",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1910-11","4.11",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1910-12","1.87",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1911-01","1.00",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1911-02","1.07",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1911-03","0.37",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1911-04","0.08",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1911-05","2.17","1,,,0"
"USC00106152","MOSCOW U OF I, ID US","1911-06","0.80",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1911-07","0.10",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1911-08","0.76",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1911-09","0.86",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1911-10","1.01",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1911-11","1.59",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1911-12","1.16",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1912-01","2.77",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1912-02","3.50",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1912-03","1.17",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1912-04","1.78",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1912-05","4.03",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1912-06","0.75",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1912-07","0.44",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1912-08","2.11",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1912-09","1.76",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1912-10","2.07",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1912-11","2.60",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1912-12","2.68",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1913-01","4.32","3,,,0"
"USC00106152","MOSCOW U OF I, ID US","1913-02","1.51",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1913-03","4.52",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1913-04","1.43",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1913-05","2.70",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1913-06","3.78",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1913-07","0.19",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1913-08","0.63",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1913-09","0.91",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1913-10","2.35",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1913-11","3.26",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1913-12","1.03",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1914-01","2.68",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1914-02","1.95",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1914-03","0.76",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1914-04","1.77",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1914-05","2.00",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1914-06","1.36",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1914-07","0.70",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1914-08","0.00",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1914-09","2.04",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1914-10","2.04",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1914-11","1.78",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1914-12","1.26",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1915-01","1.36",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1915-02","1.32",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1915-03","1.53",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1915-04","2.07",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1915-05","4.07",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1915-06","0.40",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1915-07","1.02",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1915-08","0.08",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1915-09","0.31",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1915-10","1.66",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1915-11","3.17",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1915-12","2.11",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1916-01","2.67",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1916-02","2.03",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1916-03","4.88",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1916-04","1.01",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1916-05","1.36",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1916-06","2.20",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1916-07","1.12",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1916-08","1.17",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1916-09","0.64",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1916-10","0.30",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1916-11","2.64",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1916-12","2.13",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1917-01","2.86",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1917-02","1.76",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1917-03","2.13",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1917-04","3.63",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1917-05","1.82",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1917-06","0.72",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1917-07","0.05",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1917-08","0.00",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1917-09","1.57",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1917-10","0.00",",T,,0"
"USC00106152","MOSCOW U OF I, ID US","1917-11","1.39",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1917-12","5.79",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1918-01","3.21",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1918-02","2.18",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1918-03","2.04",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1918-04","0.46","1,,,0"
"USC00106152","MOSCOW U OF I, ID US","1918-05","0.94",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1918-06","0.95",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1918-07","0.93",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1918-08","0.80",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1918-09","0.75",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1918-10","2.15",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1918-11","1.81",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1918-12","1.62",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1919-01","2.26",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1919-02","4.58",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1919-03","1.57",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1919-04","1.56",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1919-05","1.28",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1919-06","0.04",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1919-07","0.00",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1919-08","0.48",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1919-09","0.83",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1919-10","1.61",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1919-11","3.87",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1919-12","3.04",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1920-01","2.79",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1920-02","0.30",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1920-03","2.69",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1920-04","2.72",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1920-05","1.35",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1920-06","1.66",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1920-07","0.54",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1920-08","1.22",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1920-09","2.52",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1920-10","2.35",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1920-11","2.53",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1920-12","3.04",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1921-01","3.95",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1921-02","2.70",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1921-03","3.25",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1921-04","2.86",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1921-05","1.80",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1921-06","1.47",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1921-07","0.19",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1921-08","0.30",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1921-09","1.43",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1921-10","1.56",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1921-11","3.98",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1921-12","1.89",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1922-01","2.04",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1922-02","1.48",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1922-03","2.50",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1922-04","1.46",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1922-05","0.47",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1922-06","0.22",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1922-07","0.00",",T,,0"
"USC00106152","MOSCOW U OF I, ID US","1922-08","1.52",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1922-09","0.75",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1922-10","1.00",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1922-11","1.32",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1922-12","2.90",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1923-01","3.93",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1923-02","1.71",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1923-03","1.56",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1923-04","2.52",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1923-05","1.44",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1923-06","3.37",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1923-07","1.19",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1923-08","0.26",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1923-09","0.25",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1923-10","1.73",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1923-11","3.03",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1923-12","3.95",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1924-01","2.34",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1924-02","2.63",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1924-03","0.96",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1924-04","0.37",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1924-05","0.05",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1924-06","1.01",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1924-07","0.68",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1924-08","0.46",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1924-09","0.65",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1924-10","1.34",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1924-11","4.26",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1924-12","2.40",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1925-01","4.07",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1925-02","1.91",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1925-03","1.33",",,,0"
