"loan_id","issue_month","term","grade","loan_amount","interest_rate"
156,"Mar-2018",36,"C",35000,16.01
158,"Mar-2018",36,"B",20000,9.92
160,"Mar-2018",36,"A",12000,6.71
161,"Mar-2018",36,"D",16000,17.47
162,"Jan-2018",36,"B",10000,11.99
163,"Feb-2018",36,"C",10000,13.59
164,"Jan-2018",36,"A",15000,7.35
166,"Feb-2018",36,"A",40000,7.97
168,"Mar-2018",36,"C",32175,12.61
175,"Feb-2018",36,"D",11000,18.06
179,"Feb-2018",36,"A",25000,6.72
181,"Mar-2018",36,"A",28000,6.71
182,"Mar-2018",36,"A",10000,6.07
183,"Jan-2018",36,"A",10000,7.35
184,"Feb-2018",36,"C",10000,13.59
185,"Jan-2018",36,"C",2500,13.59
186,"Mar-2018",36,"A",6500,5.31
187,"Jan-2018",36,"A",10000,7.97
188,"Jan-2018",36,"A",14500,7.35
189,"Jan-2018",36,"B",40000,11.99
190,"Feb-2018",36,"C",16000,16.02
191,"Jan-2018",36,"B",14000,9.93
192,"Feb-2018",36,"D",10000,19.42
193,"Mar-2018",36,"A",2400,7.96
194,"Jan-2018",36,"C",17000,13.59
195,"Mar-2018",36,"C",24000,12.61
196,"Feb-2018",36,"D",20000,19.03
197,"Mar-2018",36,"C",30000,16.01
198,"Jan-2018",36,"A",3600,6.72
199,"Mar-2018",36,"A",20000,6.07
200,"Jan-2018",36,"C",8000,15.05
201,"Mar-2018",36,"A",16000,6.07
202,"Mar-2018",36,"C",24000,13.58
203,"Feb-2018",36,"B",2000,10.42
204,"Mar-2018",36,"B",2000,11.98
205,"Mar-2018",36,"B",6500,9.43
206,"Feb-2018",36,"C",8000,16.02
207,"Feb-2018",36,"D",7000,18.06
210,"Jan-2018",36,"B",35000,10.42
211,"Jan-2018",36,"B",26000,10.42
214,"Jan-2018",36,"A",15000,5.32
216,"Mar-2018",36,"B",15000,9.44
217,"Feb-2018",36,"C",10000,14.08
218,"Jan-2018",36,"A",5000,7.35
220,"Mar-2018",36,"C",10000,15.04
223,"Mar-2018",36,"A",10000,6.72
224,"Feb-2018",36,"A",8000,5.32
226,"Feb-2018",36,"A",20000,5.32
227,"Mar-2018",36,"B",9000,10.41
229,"Feb-2018",36,"A",3000,6.07
230,"Jan-2018",36,"B",8000,9.93
231,"Mar-2018",36,"B",10000,11.99
232,"Mar-2018",36,"A",5000,6.71
233,"Feb-2018",36,"A",15000,5.31
235,"Feb-2018",36,"B",40000,10.9
236,"Jan-2018",36,"C",3000,12.62
237,"Jan-2018",36,"B",1500,10.42
238,"Feb-2018",36,"C",28000,15.05
239,"Feb-2018",36,"A",8000,6.71
241,"Mar-2018",36,"B",40000,9.44
242,"Feb-2018",36,"B",11000,11.99
243,"Jan-2018",36,"B",3300,11.99
244,"Mar-2018",36,"A",15000,6.07
245,"Feb-2018",36,"A",11500,5.31
246,"Mar-2018",36,"A",16500,6.07
249,"Feb-2018",36,"C",4400,14.08
251,"Jan-2018",36,"B",3125,10.91
255,"Feb-2018",36,"A",35000,6.08
256,"Mar-2018",36,"B",14000,11.98
257,"Mar-2018",36,"B",16000,9.92
258,"Feb-2018",36,"C",8000,13.59
259,"Feb-2018",36,"B",7000,10.41
261,"Feb-2018",36,"A",10000,7.97
262,"Mar-2018",36,"D",2500,19.42
264,"Jan-2018",36,"A",5000,6.72
265,"Jan-2018",36,"B",9000,10.91
266,"Mar-2018",36,"D",5000,17.47
267,"Mar-2018",36,"B",10000,10.41
268,"Jan-2018",36,"A",1200,6.72
269,"Feb-2018",36,"B",10000,9.44
270,"Mar-2018",36,"C",6000,12.61
271,"Mar-2018",36,"A",2500,7.96
272,"Mar-2018",36,"B",32000,10.9
274,"Mar-2018",36,"A",10000,7.96
278,"Mar-2018",36,"B",16000,10.9
279,"Feb-2018",36,"A",20000,6.08
280,"Jan-2018",36,"B",10000,9.93
281,"Mar-2018",36,"C",10000,12.61
285,"Mar-2018",36,"B",1950,9.43
287,"Mar-2018",36,"A",8000,7.34
288,"Mar-2018",36,"A",8500,7.96
289,"Mar-2018",36,"C",12000,13.58
293,"Jan-2018",36,"E",1000,22.91
294,"Mar-2018",36,"C",15000,12.61
295,"Feb-2018",36,"B",13250,9.93
296,"Jan-2018",36,"A",10000,6.72
297,"Mar-2018",36,"D",18000,19.42
298,"Mar-2018",36,"B",2400,9.92
300,"Jan-2018",36,"B",36525,10.42
301,"Jan-2018",36,"A",5000,7.35
302,"Mar-2018",36,"A",28000,6.71
303,"Feb-2018",36,"C",35000,12.62
307,"Mar-2018",36,"B",7000,10.9
308,"Jan-2018",36,"B",20000,11.99
309,"Mar-2018",36,"A",40000,7.34
310,"Feb-2018",36,"C",10000,12.61
311,"Mar-2018",36,"A",8000,6.71
312,"Mar-2018",36,"B",4000,9.43
313,"Jan-2018",36,"C",30000,13.59
314,"Jan-2018",36,"A",20000,6.08
315,"Mar-2018",36,"A",24000,7.96
316,"Feb-2018",36,"A",4000,7.35
318,"Mar-2018",36,"A",24000,6.07
319,"Jan-2018",36,"D",2800,19.03
321,"Feb-2018",36,"B",12000,10.42
322,"Mar-2018",36,"B",9600,9.44
323,"Feb-2018",36,"A",9600,5.31
324,"Jan-2018",36,"A",3500,7.97
325,"Jan-2018",36,"A",8000,5.32
326,"Jan-2018",36,"B",12000,10.91
327,"Jan-2018",36,"B",32400,10.91
328,"Jan-2018",36,"D",3600,19.03
330,"Jan-2018",36,"C",8300,13.59
331,"Jan-2018",36,"A",25600,5.32
334,"Jan-2018",36,"A",4000,7.35
335,"Mar-2018",36,"B",1000,9.92
337,"Feb-2018",36,"A",40000,7.35
338,"Mar-2018",36,"B",22000,9.43
339,"Feb-2018",36,"B",6400,9.44
340,"Jan-2018",36,"D",12000,17.09
341,"Jan-2018",36,"D",30000,18.06
343,"Feb-2018",36,"A",20000,6.72
344,"Feb-2018",36,"B",24000,9.43
347,"Feb-2018",36,"D",30000,18.06
348,"Mar-2018",36,"C",9000,15.04
349,"Feb-2018",36,"C",28000,13.59
351,"Feb-2018",36,"C",5000,15.05
353,"Jan-2018",36,"A",25000,7.35
354,"Feb-2018",36,"B",25000,11.98
355,"Jan-2018",36,"C",14000,13.59
356,"Mar-2018",36,"B",6000,11.98
357,"Jan-2018",36,"A",12000,7.35
358,"Mar-2018",36,"B",20000,9.92
359,"Jan-2018",36,"C",10000,14.08
361,"Mar-2018",36,"D",5000,17.47
362,"Mar-2018",36,"B",10000,9.43
363,"Jan-2018",36,"A",10000,7.97
365,"Feb-2018",36,"C",17000,14.08
366,"Jan-2018",36,"A",19475,7.97
367,"Mar-2018",36,"C",10000,14.07
368,"Jan-2018",36,"B",8000,9.93
369,"Jan-2018",36,"B",10000,10.42
372,"Feb-2018",36,"A",11300,7.35
374,"Mar-2018",36,"A",10000,7.96
375,"Mar-2018",36,"C",25000,13.58
377,"Mar-2018",36,"A",19200,7.34
378,"Jan-2018",36,"A",14000,6.08
379,"Mar-2018",36,"C",13000,12.61
382,"Feb-2018",36,"A",7000,6.08
384,"Jan-2018",36,"C",20000,16.02
386,"Mar-2018",36,"C",12000,12.61
387,"Jan-2018",36,"C",8650,14.08
388,"Jan-2018",36,"D",7500,17.09
389,"Mar-2018",36,"A",21000,7.96
390,"Jan-2018",36,"B",12000,10.42
391,"Mar-2018",36,"A",10000,7.34
393,"Jan-2018",36,"A",8500,6.72
394,"Feb-2018",36,"B",18000,10.42
396,"Mar-2018",36,"C",9500,16.01
397,"Jan-2018",36,"C",20000,14.08
398,"Mar-2018",36,"B",10000,10.9
399,"Mar-2018",36,"A",30000,5.31
401,"Feb-2018",36,"B",25000,9.93
402,"Mar-2018",36,"B",30000,9.43
404,"Jan-2018",36,"A",8000,7.97
405,"Jan-2018",36,"A",12000,7.35
407,"Feb-2018",36,"C",8000,14.07
408,"Jan-2018",36,"B",10000,11.99
409,"Mar-2018",36,"A",6650,5.31
410,"Jan-2018",36,"A",10000,5.32
411,"Jan-2018",36,"B",5200,11.99
413,"Jan-2018",36,"A",6000,6.72
414,"Jan-2018",36,"A",5000,7.97
415,"Jan-2018",36,"A",3500,5.32
416,"Feb-2018",36,"E",15000,22.91
418,"Mar-2018",36,"C",11200,15.05
419,"Jan-2018",36,"A",40000,7.35
420,"Jan-2018",36,"B",10000,11.99
421,"Feb-2018",36,"B",36000,9.93
423,"Jan-2018",36,"C",9000,13.59
426,"Feb-2018",36,"A",7000,5.31
428,"Jan-2018",36,"B",1000,11.99
429,"Jan-2018",36,"A",7000,6.08
430,"Jan-2018",36,"D",5000,19.03
431,"Jan-2018",36,"A",30000,7.35
432,"Mar-2018",36,"A",6000,7.96
433,"Feb-2018",36,"D",20000,20.39
435,"Mar-2018",36,"A",12000,7.96
436,"Jan-2018",36,"A",5000,5.32
437,"Jan-2018",36,"C",15000,14.08
438,"Mar-2018",36,"D",15000,18.45
439,"Feb-2018",36,"A",5000,6.72
441,"Mar-2018",36,"B",17975,10.9
445,"Mar-2018",36,"B",3300,9.43
447,"Feb-2018",36,"B",7200,11.98
449,"Mar-2018",36,"B",25000,11.98
451,"Jan-2018",36,"B",4000,9.93
452,"Feb-2018",36,"B",40000,9.43
453,"Feb-2018",36,"B",40000,10.41
454,"Mar-2018",36,"A",13000,7.34
455,"Mar-2018",36,"C",15000,14.07
457,"Feb-2018",36,"A",13000,7.97
459,"Feb-2018",36,"D",3000,21.45
462,"Feb-2018",36,"B",2500,10.42
463,"Mar-2018",36,"D",4000,17.47
465,"Mar-2018",36,"A",6400,7.35
466,"Jan-2018",36,"D",6900,17.09
467,"Jan-2018",36,"C",6000,13.59
468,"Mar-2018",36,"A",3000,6.07
469,"Feb-2018",36,"B",10000,9.93
470,"Jan-2018",36,"B",12000,9.44
471,"Feb-2018",36,"B",16000,11.99
474,"Feb-2018",36,"B",12000,10.41
475,"Mar-2018",36,"C",6000,12.61
476,"Mar-2018",36,"A",6500,6.71
477,"Jan-2018",36,"B",6000,10.42
478,"Feb-2018",36,"D",7500,18.06
479,"Feb-2018",36,"A",10000,6.08
480,"Jan-2018",36,"A",27500,7.97
482,"Mar-2018",36,"C",6000,15.04
484,"Jan-2018",36,"D",2500,17.09
485,"Feb-2018",36,"D",7000,20
486,"Feb-2018",36,"B",8000,9.44
489,"Jan-2018",36,"A",4000,7.97
490,"Mar-2018",36,"B",6500,11.98
491,"Mar-2018",36,"A",40000,6.07
493,"Mar-2018",36,"B",10000,9.44
494,"Mar-2018",36,"B",15000,9.43
498,"Feb-2018",36,"C",15000,13.59
499,"Jan-2018",36,"A",10000,7.35
500,"Mar-2018",36,"A",8000,6.71
501,"Feb-2018",36,"B",6300,9.44
502,"Jan-2018",36,"A",4500,6.72
503,"Feb-2018",36,"A",30000,7.97
505,"Feb-2018",36,"A",16000,6.72
506,"Jan-2018",36,"A",24000,5.32
507,"Feb-2018",36,"D",15000,17.47
508,"Jan-2018",36,"C",15000,15.05
509,"Jan-2018",36,"B",14000,10.91
511,"Jan-2018",36,"A",12000,5.32
512,"Feb-2018",36,"C",35000,12.62
513,"Mar-2018",36,"C",10000,12.61
514,"Jan-2018",36,"B",5000,10.91
515,"Jan-2018",36,"A",36500,5.32
516,"Mar-2018",36,"A",4800,7.96
517,"Feb-2018",36,"B",25000,11.99
518,"Feb-2018",36,"A",20000,6.08
519,"Mar-2018",36,"C",2400,13.58
520,"Feb-2018",36,"A",6000,7.35
521,"Jan-2018",36,"A",20000,7.97
522,"Jan-2018",36,"B",24000,10.42
523,"Mar-2018",36,"A",15000,6.71
524,"Mar-2018",36,"A",20000,5.31
525,"Feb-2018",36,"C",11000,12.61
526,"Jan-2018",36,"E",7500,25.82
527,"Jan-2018",36,"D",14800,18.06
528,"Jan-2018",36,"B",20000,9.44
529,"Jan-2018",36,"D",10000,19.03
530,"Jan-2018",36,"A",22000,5.32
531,"Feb-2018",36,"B",10000,11.99
532,"Mar-2018",36,"A",13000,7.96
533,"Mar-2018",36,"D",32000,18.45
536,"Mar-2018",36,"A",2050,7.96
537,"Feb-2018",36,"C",12000,13.58
538,"Mar-2018",36,"A",12000,7.34
539,"Mar-2018",36,"B",12000,9.43
540,"Feb-2018",36,"C",5400,15.05
541,"Feb-2018",36,"B",6000,11.98
542,"Jan-2018",36,"C",7400,13.59
543,"Feb-2018",36,"C",8000,14.08
545,"Mar-2018",36,"C",10000,16.01
546,"Mar-2018",36,"B",40000,9.43
547,"Jan-2018",36,"B",9500,9.93
553,"Mar-2018",36,"A",21975,7.96
554,"Jan-2018",36,"B",12000,10.91
556,"Feb-2018",36,"A",10000,5.31
558,"Mar-2018",36,"D",20000,21.85
559,"Jan-2018",36,"A",10000,7.35
561,"Feb-2018",36,"A",15000,6.08
562,"Mar-2018",36,"C",8000,16.01
563,"Mar-2018",36,"B",6025,10.9
564,"Jan-2018",36,"A",30000,7.35
566,"Jan-2018",36,"A",35000,6.72
567,"Mar-2018",36,"B",12000,9.92
570,"Jan-2018",36,"D",20000,20
571,"Mar-2018",36,"B",1600,10.9
572,"Feb-2018",36,"C",6000,13.58
574,"Mar-2018",36,"B",15000,10.9
575,"Jan-2018",36,"B",3000,10.42
576,"Feb-2018",36,"E",39600,22.91
577,"Jan-2018",36,"C",5000,12.62
578,"Feb-2018",36,"C",18875,14.07
579,"Jan-2018",36,"C",40000,15.05
581,"Mar-2018",36,"C",6000,16.01
583,"Feb-2018",36,"A",9500,7.35
585,"Feb-2018",36,"B",20000,9.44
586,"Feb-2018",36,"C",35000,16.01
587,"Mar-2018",36,"B",7000,10.9
588,"Feb-2018",36,"A",16700,6.72
589,"Jan-2018",36,"B",15000,9.93
590,"Jan-2018",36,"B",40000,11.99
591,"Feb-2018",36,"B",24000,9.93
592,"Mar-2018",36,"B",4000,10.41
593,"Jan-2018",36,"C",35000,13.59
594,"Feb-2018",36,"C",9525,15.05
596,"Feb-2018",36,"D",20000,19.03
597,"Feb-2018",36,"A",10000,6.08
598,"Feb-2018",36,"B",3500,11.99
599,"Feb-2018",36,"A",9000,5.31
601,"Jan-2018",36,"C",5000,13.59
602,"Jan-2018",36,"C",5000,13.59
603,"Mar-2018",36,"B",2200,11.98
604,"Jan-2018",36,"C",10000,14.08
605,"Jan-2018",36,"C",2000,15.05
606,"Jan-2018",36,"C",6025,12.62
609,"Jan-2018",36,"A",38400,6.72
610,"Mar-2018",36,"B",40000,9.92
612,"Mar-2018",36,"B",10000,9.43
615,"Jan-2018",36,"A",24000,6.72
616,"Feb-2018",36,"C",10000,13.58
617,"Mar-2018",36,"B",6250,9.92
618,"Mar-2018",36,"B",25000,10.41
619,"Feb-2018",36,"B",4000,10.91
621,"Jan-2018",36,"B",12000,10.91
622,"Mar-2018",36,"A",20000,6.07
623,"Feb-2018",36,"B",20000,10.42
624,"Mar-2018",36,"B",16000,9.43
625,"Mar-2018",36,"A",21000,6.08
627,"Mar-2018",36,"A",7200,6.07
629,"Feb-2018",36,"C",10000,16.02
630,"Jan-2018",36,"B",8500,10.42
632,"Feb-2018",36,"A",5000,7.34
633,"Mar-2018",36,"D",30000,19.42
634,"Jan-2018",36,"C",21000,15.05
638,"Mar-2018",36,"B",35000,10.41
639,"Jan-2018",36,"C",5000,14.08
640,"Feb-2018",36,"B",6000,11.99
643,"Jan-2018",36,"A",8000,6.08
644,"Mar-2018",36,"A",35200,6.71
645,"Jan-2018",36,"B",6000,10.42
646,"Mar-2018",36,"A",6000,7.34
647,"Mar-2018",36,"D",10000,17.47
648,"Jan-2018",36,"B",35000,9.93
652,"Jan-2018",36,"A",2000,7.97
654,"Feb-2018",36,"A",7500,7.96
655,"Feb-2018",36,"A",10000,6.72
657,"Mar-2018",36,"A",10000,7.96
658,"Feb-2018",36,"B",9500,10.42
659,"Jan-2018",36,"A",11500,6.08
660,"Jan-2018",36,"A",18000,6.72
661,"Feb-2018",36,"A",10000,5.31
662,"Jan-2018",36,"B",6000,10.42
664,"Feb-2018",36,"A",15000,7.35
666,"Feb-2018",36,"A",9500,5.32
667,"Jan-2018",36,"C",10000,16.02
668,"Mar-2018",36,"B",6000,9.92
669,"Feb-2018",36,"A",30000,6.71
670,"Jan-2018",36,"C",10000,14.08
671,"Jan-2018",36,"B",12000,9.44
672,"Feb-2018",36,"C",16000,16.02
673,"Jan-2018",36,"B",24000,10.42
674,"Feb-2018",36,"A",4000,7.97
675,"Feb-2018",36,"C",8500,16.02
676,"Feb-2018",36,"B",3100,9.43
677,"Feb-2018",36,"B",20000,11.98
679,"Mar-2018",36,"A",21000,6.71
680,"Mar-2018",36,"A",8000,6.71
681,"Jan-2018",36,"D",30000,19.03
683,"Mar-2018",36,"B",2500,10.9
685,"Feb-2018",36,"A",10000,6.72
686,"Feb-2018",36,"B",16000,9.44
687,"Feb-2018",36,"A",9000,5.31
689,"Mar-2018",36,"C",7000,13.58
690,"Jan-2018",36,"C",10000,14.08
691,"Mar-2018",36,"B",5000,9.43
692,"Feb-2018",36,"B",17000,10.91
693,"Jan-2018",36,"C",4000,16.02
694,"Feb-2018",36,"D",18000,18.06
695,"Feb-2018",36,"A",9000,5.31
698,"Mar-2018",36,"C",15600,16.01
699,"Jan-2018",36,"B",6000,10.91
700,"Feb-2018",36,"C",24000,12.62
702,"Jan-2018",36,"D",7500,17.09
703,"Jan-2018",36,"B",16000,10.42
704,"Jan-2018",36,"A",12150,7.97
705,"Feb-2018",36,"C",10000,14.08
706,"Mar-2018",36,"A",10000,7.34
708,"Feb-2018",36,"B",10000,11.99
710,"Jan-2018",36,"B",6000,10.91
712,"Feb-2018",36,"A",6000,6.72
715,"Feb-2018",36,"D",16000,17.09
716,"Feb-2018",36,"C",10000,16.01
717,"Mar-2018",36,"C",10000,15.04
719,"Feb-2018",36,"A",8000,7.97
720,"Jan-2018",36,"B",12000,9.44
724,"Jan-2018",36,"B",22900,10.91
729,"Feb-2018",36,"B",6000,10.91
730,"Mar-2018",36,"A",10000,6.07
733,"Jan-2018",36,"B",5775,11.99
737,"Mar-2018",36,"A",40000,6.07
738,"Jan-2018",36,"C",12000,14.08
740,"Mar-2018",36,"A",8000,6.07
741,"Jan-2018",36,"B",14000,10.91
742,"Feb-2018",36,"A",18000,6.72
745,"Mar-2018",36,"C",6025,12.61
747,"Feb-2018",36,"A",6000,7.35
750,"Jan-2018",36,"A",5400,6.08
751,"Feb-2018",36,"B",5000,11.99
753,"Feb-2018",36,"A",10000,5.32
755,"Feb-2018",36,"D",4000,21.45
757,"Feb-2018",36,"C",4000,14.08
758,"Mar-2018",36,"B",9600,10.9
759,"Jan-2018",36,"C",7000,15.05
760,"Feb-2018",36,"B",8000,11.98
761,"Jan-2018",36,"B",15775,10.91
762,"Mar-2018",36,"C",2000,14.07
764,"Mar-2018",36,"F",16175,30.75
766,"Mar-2018",36,"B",7500,11.98
767,"Feb-2018",36,"A",10000,5.32
773,"Mar-2018",36,"C",7625,12.61
774,"Jan-2018",36,"D",10000,18.06
775,"Feb-2018",36,"C",9800,14.08
776,"Mar-2018",36,"D",16000,18.06
777,"Mar-2018",36,"A",40000,6.07
778,"Jan-2018",36,"B",4800,11.99
779,"Mar-2018",36,"A",40000,5.31
781,"Jan-2018",36,"A",3600,6.08
783,"Jan-2018",36,"C",4000,15.05
784,"Feb-2018",36,"A",8000,6.72
785,"Jan-2018",36,"C",8000,12.62
786,"Mar-2018",36,"A",20000,6.07
787,"Feb-2018",36,"A",6000,5.32
788,"Mar-2018",36,"A",3000,7.34
789,"Feb-2018",36,"B",12000,9.93
791,"Mar-2018",36,"A",35000,6.07
794,"Mar-2018",36,"C",10000,16.01
796,"Feb-2018",36,"A",5000,7.35
797,"Mar-2018",36,"A",16500,5.31
798,"Feb-2018",36,"A",23000,6.72
799,"Jan-2018",36,"A",7000,7.97
803,"Jan-2018",36,"A",20000,6.72
804,"Jan-2018",36,"B",7000,11.99
806,"Jan-2018",36,"A",10400,6.72
807,"Mar-2018",36,"B",8000,9.92
808,"Jan-2018",36,"A",20000,7.97
809,"Mar-2018",36,"A",10000,7.34
810,"Mar-2018",36,"B",3800,9.92
811,"Mar-2018",36,"B",40000,9.43
812,"Feb-2018",36,"B",4375,10.42
813,"Feb-2018",36,"C",14400,16.02
814,"Jan-2018",36,"A",6000,6.08
815,"Feb-2018",36,"D",10000,20.39
816,"Feb-2018",36,"C",8000,13.59
818,"Jan-2018",36,"B",3000,10.42
821,"Mar-2018",36,"A",13500,6.72
822,"Feb-2018",36,"D",35000,18.06
824,"Jan-2018",36,"B",10000,10.42
825,"Jan-2018",36,"C",4000,14.08
827,"Mar-2018",36,"C",8000,16.02
828,"Feb-2018",36,"A",10000,6.72
829,"Mar-2018",36,"B",7000,9.43
830,"Jan-2018",36,"A",10000,7.35
831,"Jan-2018",36,"A",16500,6.08
832,"Jan-2018",36,"A",8000,6.08
833,"Jan-2018",36,"B",16800,10.91
837,"Mar-2018",36,"C",10000,13.58
838,"Jan-2018",36,"B",12000,11.99
840,"Feb-2018",36,"B",8500,9.44
841,"Jan-2018",36,"D",10000,17.09
843,"Mar-2018",36,"D",36000,20.39
846,"Feb-2018",36,"B",20000,9.93
847,"Mar-2018",36,"B",6000,10.41
848,"Feb-2018",36,"C",7000,12.62
849,"Jan-2018",36,"D",3000,17.09
850,"Mar-2018",36,"A",6000,6.07
852,"Jan-2018",36,"B",10000,10.91
853,"Mar-2018",36,"A",5000,5.31
854,"Jan-2018",36,"A",40000,6.08
855,"Mar-2018",36,"A",4000,6.07
856,"Mar-2018",36,"B",22000,9.43
857,"Mar-2018",36,"C",8000,14.07
858,"Jan-2018",36,"D",10000,17.09
860,"Mar-2018",36,"C",30000,14.07
862,"Mar-2018",36,"A",10000,5.32
865,"Mar-2018",36,"B",25600,9.43
866,"Feb-2018",36,"C",30000,16.02
867,"Feb-2018",36,"B",25000,9.93
869,"Jan-2018",36,"B",20000,9.93
871,"Feb-2018",36,"B",20000,10.42
872,"Jan-2018",36,"B",7500,11.99
875,"Feb-2018",36,"A",29600,7.97
876,"Mar-2018",36,"B",6100,11.98
878,"Feb-2018",36,"A",24000,7.97
879,"Jan-2018",36,"C",10000,14.08
880,"Jan-2018",36,"D",13000,19.03
881,"Mar-2018",36,"A",8000,7.96
883,"Jan-2018",36,"B",8000,11.99
885,"Feb-2018",36,"A",9000,7.97
888,"Jan-2018",36,"A",7000,5.32
889,"Feb-2018",36,"A",15000,7.97
890,"Mar-2018",36,"C",30000,12.61
891,"Mar-2018",36,"B",15000,11.98
894,"Mar-2018",36,"B",11200,10.9
895,"Mar-2018",36,"B",11000,9.92
896,"Mar-2018",36,"C",27000,12.61
900,"Mar-2018",36,"D",18000,20.39
901,"Jan-2018",36,"B",19000,9.44
903,"Mar-2018",36,"C",18000,12.61
904,"Mar-2018",36,"C",15000,16.01
905,"Mar-2018",36,"C",16000,12.61
907,"Mar-2018",36,"A",10000,6.71
908,"Mar-2018",36,"B",10000,9.43
909,"Mar-2018",36,"B",10000,10.41
910,"Mar-2018",36,"B",20000,10.9
912,"Jan-2018",36,"C",21275,14.08
913,"Jan-2018",36,"B",5000,10.91
914,"Mar-2018",36,"A",18000,7.34
916,"Feb-2018",36,"E",8000,23.88
917,"Mar-2018",36,"B",5500,10.9
918,"Jan-2018",36,"C",6675,12.62
919,"Jan-2018",36,"B",20000,9.93
920,"Jan-2018",36,"A",5000,6.72
